Title;OpenAlexConcepts;OpenAIRESubjects_fromMag;Matching
Another stemmer;Artificial intelligence | Biology | Computer science | Conflation | Ecology | Information retrieval | Lemma (botany) | Linguistics | Natural language processing | Operating system | Orthographic projection | Philosophy | Poaceae | Process (computing) | Proper noun | Root (linguistics) | Thesaurus | Word (group theory);Artificial intelligence | Computer science | Conflation | Hardware and Architecture | Lemma (morphology) | Management Information Systems | Natural language processing | Principal (computer security) | Root (linguistics) | Thesaurus | Topic model | Word (group theory) | business | business.industry | computer | computer.software_genre;Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: computer science - Openalex: computer science | Openaire: computer - Openalex: computer science | Openaire: conflation - Openalex: conflation | Openaire: management information systems - Openalex: information retrieval | Openaire: lemma (morphology) - Openalex: lemma (botany) | Openaire: natural language processing - Openalex: natural language processing | Openaire: root (linguistics) - Openalex: root (linguistics) | Openaire: thesaurus - Openalex: thesaurus | Openaire: word (group theory) - Openalex: word (group theory)
Asteroid families. I - Identification by hierarchical clustering and reliability assessment;Artificial intelligence | Asteroid | Asteroid belt | Astronomy | Biology | Botany | Cluster analysis | Computer science | Hierarchical clustering | Identification (biology) | Physics | Planetary science;Asteroid | Asteroid family | Astronomy and Astrophysics | Classical mechanics | Data mining | Hierarchical clustering | Identification (information) | Physics | Planetary Evolution | Reliability (statistics) | Space and Planetary Science | computer | computer.software_genre;Openaire: asteroid - Openalex: asteroid | Openaire: asteroid family - Openalex: asteroid | Openaire: asteroid - Openalex: asteroid belt | Openaire: asteroid family - Openalex: asteroid belt | Openaire: astronomy and astrophysics - Openalex: astronomy | Openaire: space and planetary science - Openalex: computer science | Openaire: computer - Openalex: computer science | Openaire: hierarchical clustering - Openalex: hierarchical clustering | Openaire: identification (information) - Openalex: identification (biology) | Openaire: physics - Openalex: physics | Openaire: planetary evolution - Openalex: planetary science | Openaire: space and planetary science - Openalex: planetary science
Adverse Selection and Renegotiation in Procurement;Adverse selection | Artificial intelligence | Computer science | Economics | Information asymmetry | Management | Materials science | Metallurgy | Microeconomics | Monopoly | Physics | Procurement | Quantum mechanics | Selection (genetic algorithm) | Term (time) | Yield (engineering);Adverse selection | Discounting | Durable good | Economics | Economics and Econometrics | Microeconomics | Monopoly | Pooling | Principal (commercial law) | Procurement | Yield (finance);Openaire: adverse selection - Openalex: adverse selection | Openaire: economics - Openalex: economics | Openaire: economics and econometrics - Openalex: economics | Openaire: microeconomics - Openalex: microeconomics | Openaire: monopoly - Openalex: monopoly | Openaire: procurement - Openalex: procurement | Openaire: adverse selection - Openalex: selection (genetic algorithm) | Openaire: yield (finance) - Openalex: yield (engineering)
Phase transitions and critical fluctuations in the visual coordination of rhythmic movements between people.;Acoustics | Artificial intelligence | Astronomy | Bifurcation | Biochemistry | Chemistry | Computer science | Condensed matter physics | Consonant | Control (management) | Control theory (sociology) | Critical frequency | Divergence (linguistics) | Hysteresis | Ionosphere | Linguistics | Machine learning | Mathematical analysis | Mathematics | Mode (computer interface) | Nonlinear system | Operating system | Oscillation (cell signaling) | Phase (matter) | Phase transition | Philosophy | Physics | Psychology | Quantum mechanics | Rhythm | Speech recognition | Stability (learning theory) | Statistical physics | Vowel;Arts and Humanities (miscellaneous) | Behavioral Neuroscience | Experimental and Cognitive Psychology;Openaire: experimental and cognitive psychology - Openalex: psychology
Selection in different environments: effects on environmental sensitivity (reaction norm) and on mean performance;Artificial intelligence | Character (mathematics) | Computer science | Electronic engineering | Engineering | Environmental health | Estimator | Geometry | Group selection | Law | Mathematics | Medicine | Norm (philosophy) | Political science | Population | Population mean | Selection (genetic algorithm) | Sensitivity (control systems) | Statistics;Base population | Biology | Covariance | Directional selection | Ecology | General Medicine | Genetics | Gene–environment interaction | Norm (social) | Scale effects | Stabilizing selection | Statistics | Unselected population;Openaire: directional selection - Openalex: group selection | Openaire: stabilizing selection - Openalex: group selection | Openaire: general medicine - Openalex: medicine | Openaire: norm (social) - Openalex: norm (philosophy) | Openaire: base population - Openalex: population | Openaire: unselected population - Openalex: population | Openaire: base population - Openalex: population mean | Openaire: unselected population - Openalex: population mean | Openaire: directional selection - Openalex: selection (genetic algorithm) | Openaire: stabilizing selection - Openalex: selection (genetic algorithm) | Openaire: statistics - Openalex: statistics
Feature-blind grammar and dysphasia;Artificial intelligence | Computer science | Feature (linguistics) | Grammar | Linguistics | Natural language processing | Philosophy | Psychology;;
The Random Walk Construction of Uniform Spanning Trees and Uniform Labelled Trees;Artificial intelligence | Combinatorics | Computer science | Discrete mathematics | Graph | Loop-erased random walk | Mathematics | Minimum spanning tree | Motion planning | Random graph | Random tree | Random walk | Robot | Shortest-path tree | Spanning tree | Statistics | Tree (set theory) | Uniform distribution (continuous);Computation Theory & Mathematics | Computation Theory and Mathematics | Pure Mathematics;Openaire: computation theory & mathematics - Openalex: discrete mathematics | Openaire: computation theory and mathematics - Openalex: discrete mathematics | Openaire: pure mathematics - Openalex: discrete mathematics | Openaire: computation theory & mathematics - Openalex: mathematics | Openaire: computation theory and mathematics - Openalex: mathematics | Openaire: pure mathematics - Openalex: mathematics
Random telegraph noise of deep-submicrometer MOSFETs;Acoustics | Amplifier | Artificial intelligence | Burst noise | CMOS | Computer science | Electrical engineering | Electron mobility | Electronic engineering | Engineering | Flicker noise | Image (mathematics) | MOSFET | Materials science | Modulation (music) | Noise (video) | Noise figure | Noise generator | Optoelectronics | Physics | Transistor | Voltage;;
Multichannel nonlinear scattering for nonintegrable equations;Artificial intelligence | Bound state | Class (philosophy) | Computer science | Constant (computer programming) | Dispersion (optics) | Exponential stability | Linguistics | Machine learning | Mathematical analysis | Mathematics | Nonlinear system | Phase (matter) | Philosophy | Physics | Programming language | Quantum mechanics | Scattering | Stability (learning theory) | Upper and lower bounds | Zero (linguistics);Bound state | Dispersion (water waves) | Exponential stability | Initial value problem | Linear combination | Mathematical Physics | Mathematical analysis | Mathematical physics | Nonlinear system | Phase (waves) | Physics | Schrödinger equation | Statistical and Nonlinear Physics | symbols | symbols.namesake;Openaire: bound state - Openalex: bound state | Openaire: dispersion (water waves) - Openalex: dispersion (optics) | Openaire: exponential stability - Openalex: exponential stability | Openaire: mathematical physics - Openalex: mathematical analysis | Openaire: mathematical analysis - Openalex: mathematical analysis | Openaire: nonlinear system - Openalex: nonlinear system | Openaire: statistical and nonlinear physics - Openalex: nonlinear system | Openaire: phase (waves) - Openalex: phase (matter) | Openaire: mathematical physics - Openalex: physics | Openaire: physics - Openalex: physics | Openaire: statistical and nonlinear physics - Openalex: physics | Openaire: exponential stability - Openalex: stability (learning theory) | Openaire: statistical and nonlinear physics - Openalex: upper and lower bounds
Practical identification of NARMAX models using radial basis functions;Algorithm | Applied mathematics | Artificial intelligence | Artificial neural network | Autoregressive model | Autoregressive–moving-average model | Basis (linear algebra) | Biology | Botany | Computer science | Control (management) | Control theory (sociology) | Data mining | Geometry | Identification (biology) | Image (mathematics) | Mathematical optimization | Mathematics | Measure (data warehouse) | Noise (video) | Nonlinear system | Physics | Quantum mechanics | Radial basis function | Statistics | System identification;Algorithm | Autoregressive–moving-average model | Computer Science Applications | Control and Systems Engineering | Discrete system | Identification (information) | Mathematics | Measure (mathematics) | Nonlinear system | Radial basis function | Regression | System identification;Openaire: algorithm - Openalex: algorithm | Openaire: mathematics - Openalex: applied mathematics | Openaire: autoregressive–moving-average model - Openalex: autoregressive model | Openaire: autoregressive–moving-average model - Openalex: autoregressive–moving-average model | Openaire: radial basis function - Openalex: basis (linear algebra) | Openaire: computer science applications - Openalex: computer science | Openaire: control and systems engineering - Openalex: control (management) | Openaire: control and systems engineering - Openalex: control theory (sociology) | Openaire: identification (information) - Openalex: identification (biology) | Openaire: system identification - Openalex: identification (biology) | Openaire: measure (mathematics) - Openalex: image (mathematics) | Openaire: mathematics - Openalex: mathematics | Openaire: measure (mathematics) - Openalex: measure (data warehouse) | Openaire: discrete system - Openalex: nonlinear system | Openaire: nonlinear system - Openalex: nonlinear system | Openaire: system identification - Openalex: nonlinear system | Openaire: radial basis function - Openalex: radial basis function | Openaire: discrete system - Openalex: system identification | Openaire: identification (information) - Openalex: system identification | Openaire: nonlinear system - Openalex: system identification | Openaire: system identification - Openalex: system identification
Quantitative and Qualitative Characteristics of the Stages and Transitions in the Cycle of the Rat Seminiferous Epithelium: Light Microscopic Observations of Perfusion-Fixed and Plastic-Embedded Testes1;Anatomy | Andrology | Artificial intelligence | Biology | Cell biology | Computer science | Consistency (knowledge bases) | Epithelium | Genetics | Geology | High resolution | Internal medicine | Medicine | Mitosis | Perfusion | Remote sensing;;
Exploration and virtual camera control in virtual three dimensional environments;Artificial intelligence | Computer graphics (images) | Computer science | Computer vision | Control (management) | Engineering | Human–computer interaction | Motion (physics) | Object (grammar) | Operating system | Session (web analytics) | Systems engineering | Task (project management) | Virtual machine | Virtual reality | Workstation | World Wide Web;Artificial intelligence | Computer science | Computer vision | Control (linguistics) | Data visualization | Input device | Motion (physics) | Object (grammar) | Session (web analytics) | Task (computing) | Workstation | business | business.industry | law | law.invention;Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: computer science - Openalex: computer graphics (images) | Openaire: computer vision - Openalex: computer graphics (images) | Openaire: computer science - Openalex: computer science | Openaire: computer vision - Openalex: computer science | Openaire: computer science - Openalex: computer vision | Openaire: computer vision - Openalex: computer vision | Openaire: control (linguistics) - Openalex: control (management) | Openaire: motion (physics) - Openalex: motion (physics) | Openaire: object (grammar) - Openalex: object (grammar) | Openaire: session (web analytics) - Openalex: session (web analytics) | Openaire: task (computing) - Openalex: task (project management) | Openaire: workstation - Openalex: workstation
Searching for and predicting the activity of sites for DNA binding proteins: compilation and analysis of the binding sites for<i>Escherichia coli</i>integration host factor (IHF);Artificial intelligence | Base (topology) | Base pair | Base sequence | Binding site | Biology | Computational biology | Computer science | Consensus sequence | DNA | Economics | Escherichia coli | Finance | Gene | Genetics | Host (biology) | Image (mathematics) | Logarithm | Mathematical analysis | Mathematics | Position (finance) | Sequence (biology) | Similarity (geometry);;
Similarity and scale in catchment storm response;Archaeology | Artificial intelligence | Biology | Cartography | Composite material | Computer science | Context (archaeology) | Drainage basin | Ecology | Environmental science | Flood myth | Geography | Geology | Geotechnical engineering | Hydrology (agriculture) | Image (mathematics) | Materials science | Meteorology | Paleontology | Range (aeronautics) | Scale (ratio) | Similarity (geometry) | Spatial ecology | Storm | Surface runoff;Catchment hydrology | Catchment scale | Climatology | Drainage basin | Environmental science | Flood frequency analysis | Geophysics | Hydrology | Infiltration (hydrology) | Spatial ecology | Storm | Surface runoff | geography | geography.geographical_feature_category;Openaire: environmental science - Openalex: computer science | Openaire: drainage basin - Openalex: drainage basin | Openaire: spatial ecology - Openalex: ecology | Openaire: environmental science - Openalex: environmental science | Openaire: flood frequency analysis - Openalex: flood myth | Openaire: geography - Openalex: geography | Openaire: catchment hydrology - Openalex: hydrology (agriculture) | Openaire: hydrology - Openalex: hydrology (agriculture) | Openaire: environmental science - Openalex: materials science | Openaire: catchment scale - Openalex: scale (ratio) | Openaire: spatial ecology - Openalex: spatial ecology | Openaire: storm - Openalex: storm | Openaire: surface runoff - Openalex: surface runoff
The use of FFT techniques in physical geodesy;Algorithm | Artificial intelligence | Artificial neural network | Cartography | Collocation (remote sensing) | Computation | Computer science | Convolution (computer science) | Covariance | Fast Fourier transform | Geography | Machine learning | Mathematics | Spectral density | Statistics | Telecommunications | Terrain;Algorithm | Collocation (remote sensing) | Fast Fourier transform | Frequency domain | Geochemistry and Petrology | Geodesy | Geodetic datum | Geoid | Geophysics | Gravity gradiometry | Physical geodesy | Spectral method;Openaire: algorithm - Openalex: algorithm | Openaire: collocation (remote sensing) - Openalex: collocation (remote sensing) | Openaire: fast fourier transform - Openalex: fast fourier transform | Openaire: spectral method - Openalex: spectral density
Project GROPEHaptic displays for scientific visualization;Artificial intelligence | Biology | Computer graphics (images) | Computer science | Docking (animal) | Haptic technology | Human–computer interaction | Medicine | Neuroscience | Nursing | Perception | Simulation | Visualization;Computer Graphics and Computer-Aided Design | Computer graphics (images) | Computer science | Docking (molecular) | General Computer Science | Haptic technology | Human–computer interaction | Perception | Protein molecules | Scientific visualization | Situation awareness | media_common | media_common.quotation_subject;Openaire: computer graphics and computer-aided design - Openalex: computer graphics (images) | Openaire: computer graphics (images) - Openalex: computer graphics (images) | Openaire: computer science - Openalex: computer graphics (images) | Openaire: general computer science - Openalex: computer graphics (images) | Openaire: computer graphics and computer-aided design - Openalex: computer science | Openaire: computer graphics (images) - Openalex: computer science | Openaire: computer science - Openalex: computer science | Openaire: general computer science - Openalex: computer science | Openaire: docking (molecular) - Openalex: docking (animal) | Openaire: haptic technology - Openalex: haptic technology | Openaire: human–computer interaction - Openalex: human–computer interaction | Openaire: perception - Openalex: perception | Openaire: scientific visualization - Openalex: visualization
Comprehensible rendering of 3-D shapes;Artificial intelligence | Classification of discontinuities | Computer graphics (images) | Computer science | Computer vision | Mathematical analysis | Mathematics | Pixel | Rendering (computer graphics);Artificial intelligence | Artistic rendering | Computer Graphics and Computer-Aided Design | Computer graphics (images) | Computer science | Computer vision | Deferred shading | Edge enhancement | General Computer Science | Hidden surface determination | Image processing | Normal | Rendering (computer graphics) | Shading | Texture mapping | business | business.industry;Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: computer graphics and computer-aided design - Openalex: computer graphics (images) | Openaire: computer graphics (images) - Openalex: computer graphics (images) | Openaire: computer science - Openalex: computer graphics (images) | Openaire: computer vision - Openalex: computer graphics (images) | Openaire: general computer science - Openalex: computer graphics (images) | Openaire: computer graphics and computer-aided design - Openalex: computer science | Openaire: computer graphics (images) - Openalex: computer science | Openaire: computer science - Openalex: computer science | Openaire: computer vision - Openalex: computer science | Openaire: general computer science - Openalex: computer science | Openaire: computer graphics and computer-aided design - Openalex: computer vision | Openaire: computer graphics (images) - Openalex: computer vision | Openaire: computer science - Openalex: computer vision | Openaire: computer vision - Openalex: computer vision | Openaire: general computer science - Openalex: computer vision | Openaire: artistic rendering - Openalex: rendering (computer graphics) | Openaire: rendering (computer graphics) - Openalex: rendering (computer graphics)
Analysis of pointers and structures;Artificial intelligence | Center (category theory) | Chemistry | Citation | Computer science | Crystallography | IBM | Law | Library science | Operating system | Optics | Physics | Political science | Research center | Watson | World Wide Web;Algorithm | Alias analysis | Compiler | Computer Graphics and Computer-Aided Design | Computer science | Data structure | Pointer (computer programming) | Pointer analysis | Shape analysis (program analysis) | Software | Theoretical computer science | computer | computer.software_genre;Openaire: computer graphics and computer-aided design - Openalex: computer science | Openaire: computer science - Openalex: computer science | Openaire: theoretical computer science - Openalex: computer science | Openaire: computer - Openalex: computer science | Openaire: computer science - Openalex: library science | Openaire: theoretical computer science - Openalex: library science | Openaire: computer science - Openalex: political science | Openaire: theoretical computer science - Openalex: political science
Goodness-of-fit in optimizing models;Aggregate (composite) | Artificial intelligence | Biology | Composite material | Computer science | Data mining | Econometric model | Econometrics | Embedding | Evolutionary biology | Function (biology) | Goodness of fit | Materials science | Mathematical optimization | Mathematics | Measure (data warehouse) | Parametric model | Parametric statistics | Statistical hypothesis testing | Statistics;;
Surveying current research in object-oriented design;Artificial intelligence | Computer science | Linguistics | Object (grammar) | Object model | Object-oriented design | Object-oriented programming | Philosophy | Process (computing) | Programming language | Software engineering | Terminology;;
An incremental constraint solver;Algorithm | Artificial intelligence | Computer science | Constraint (computer-aided design) | Constraint logic programming | Constraint satisfaction | Constraint satisfaction problem | Geometry | Hierarchy | Law | Mathematical optimization | Mathematics | Political science | Probabilistic logic | Problem solver | Solver;Algorithm | Binary constraint | Computer science | Constraint (information theory) | Constraint logic programming | Constraint satisfaction | Constraint satisfaction problem | General Computer Science | Hierarchy (mathematics) | Hybrid algorithm (constraint satisfaction);Openaire: algorithm - Openalex: algorithm | Openaire: hybrid algorithm (constraint satisfaction) - Openalex: algorithm | Openaire: computer science - Openalex: computer science | Openaire: general computer science - Openalex: computer science | Openaire: binary constraint - Openalex: constraint (computer-aided design) | Openaire: constraint (information theory) - Openalex: constraint (computer-aided design) | Openaire: constraint logic programming - Openalex: constraint (computer-aided design) | Openaire: constraint satisfaction - Openalex: constraint (computer-aided design) | Openaire: constraint satisfaction problem - Openalex: constraint (computer-aided design) | Openaire: binary constraint - Openalex: constraint logic programming | Openaire: constraint (information theory) - Openalex: constraint logic programming | Openaire: constraint logic programming - Openalex: constraint logic programming | Openaire: constraint satisfaction - Openalex: constraint logic programming | Openaire: constraint satisfaction problem - Openalex: constraint logic programming | Openaire: binary constraint - Openalex: constraint satisfaction | Openaire: constraint (information theory) - Openalex: constraint satisfaction | Openaire: constraint logic programming - Openalex: constraint satisfaction | Openaire: constraint satisfaction - Openalex: constraint satisfaction | Openaire: constraint satisfaction problem - Openalex: constraint satisfaction | Openaire: binary constraint - Openalex: constraint satisfaction problem | Openaire: constraint (information theory) - Openalex: constraint satisfaction problem | Openaire: constraint logic programming - Openalex: constraint satisfaction problem | Openaire: constraint satisfaction - Openalex: constraint satisfaction problem | Openaire: constraint satisfaction problem - Openalex: constraint satisfaction problem | Openaire: hierarchy (mathematics) - Openalex: hierarchy | Openaire: computer science - Openalex: political science | Openaire: general computer science - Openalex: political science | Openaire: constraint logic programming - Openalex: probabilistic logic | Openaire: constraint satisfaction problem - Openalex: problem solver
The structure of rational and ruled symplectic 4-manifolds;Algorithm | Annotation | Artificial intelligence | Computer science | Geology | Mathematics | Paleontology | Type (biology);Almost complex manifold | Applied Mathematics | Combinatorics | General Mathematics | Mathematical analysis | Mathematics | Moment map | Quantum cohomology | Symplectic filling | Symplectic geometry | Symplectic manifold | Symplectic representation | Symplectomorphism;Openaire: applied mathematics - Openalex: mathematics | Openaire: general mathematics - Openalex: mathematics | Openaire: mathematics - Openalex: mathematics
Linear clustering of objects with multiple attributes;Access method | Artificial intelligence | Cluster analysis | Computer science | Data mining | Database | Database index | Index (typography) | Information retrieval | Mathematics | Operating system | Search engine indexing | Space (punctuation) | Spatial analysis | Spatial database | Statistics | World Wide Web;Cluster analysis | Computer science | Data mining | Hilbert curve | Index (publishing) | Information Systems | Search engine indexing | Software | Space (commercial competition) | Spatial database | Value (computer science) | Variety (universal algebra) | computer | computer.software_genre;Openaire: cluster analysis - Openalex: cluster analysis | Openaire: computer science - Openalex: computer science | Openaire: computer - Openalex: computer science | Openaire: data mining - Openalex: data mining | Openaire: spatial database - Openalex: database | Openaire: index (publishing) - Openalex: database index | Openaire: spatial database - Openalex: database index | Openaire: index (publishing) - Openalex: index (typography) | Openaire: information systems - Openalex: information retrieval | Openaire: search engine indexing - Openalex: search engine indexing | Openaire: space (commercial competition) - Openalex: space (punctuation) | Openaire: cluster analysis - Openalex: spatial analysis | Openaire: spatial database - Openalex: spatial analysis | Openaire: spatial database - Openalex: spatial database
Motion from point matches: Multiplicity of solutions;Algorithm | Artificial intelligence | Biology | Botany | Computation | Computer program | Computer science | Geometry | Maple | Mathematical analysis | Mathematics | Motion (physics) | Multiplicity (mathematics) | Point (geometry) | Programming language | Symbolic computation | Theoretical computer science;Algorithm | Artificial Intelligence | Computer Vision and Pattern Recognition | Image sequence | Maple | Mathematics | Multiple | Multiplicity (mathematics) | Operational calculus | Pure mathematics | Software | Symbolic computation | engineering | engineering.material;Openaire: algorithm - Openalex: algorithm | Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: symbolic computation - Openalex: computation | Openaire: computer vision and pattern recognition - Openalex: computer program | Openaire: computer vision and pattern recognition - Openalex: computer science | Openaire: maple - Openalex: maple | Openaire: mathematics - Openalex: mathematics | Openaire: pure mathematics - Openalex: mathematics | Openaire: multiplicity (mathematics) - Openalex: multiplicity (mathematics) | Openaire: symbolic computation - Openalex: symbolic computation | Openaire: computer vision and pattern recognition - Openalex: theoretical computer science
Synchronous tree-adjoining grammars;Abstract syntax tree | Art | Artificial intelligence | Computer science | Context-free grammar | Extended Affix Grammar | Formalism (music) | Interpretation (philosophy) | Mathematical analysis | Mathematics | Musical | Natural language | Natural language processing | Programming language | Rule-based machine translation | Semantic interpretation | Semantics (computer science) | Syntax | Tree (set theory) | Tree-adjoining grammar | Visual arts;;
Pleiotropic models of quantitative variation.;Allele | Artificial intelligence | Astrophysics | Balancing selection | Biology | Computer science | Directional selection | Evolutionary biology | Gene | Genetic variation | Genetics | Genome | Mutation | Negative selection | Phenotype | Physics | Pleiotropy | Programming language | Selection (genetic algorithm) | Stabilizing selection | Trait | Variation (astronomy);Alleles | Balancing selection | Biology | Disruptive selection | Frequency-dependent selection | Gene Frequency | Genetic Variation | Genetics | Genetics | Investigations | Models, Genetic | Mutation | Negative selection | Phenotype | Pleiotropy | Polymorphism, Genetic | Selection (genetic algorithm) | Selection, Genetic | Stabilizing selection | Trait;Openaire: balancing selection - Openalex: balancing selection | Openaire: disruptive selection - Openalex: balancing selection | Openaire: frequency-dependent selection - Openalex: balancing selection | Openaire: negative selection - Openalex: balancing selection | Openaire: selection (genetic algorithm) - Openalex: balancing selection | Openaire: stabilizing selection - Openalex: balancing selection | Openaire: biology - Openalex: biology | Openaire: balancing selection - Openalex: directional selection | Openaire: disruptive selection - Openalex: directional selection | Openaire: frequency-dependent selection - Openalex: directional selection | Openaire: negative selection - Openalex: directional selection | Openaire: selection (genetic algorithm) - Openalex: directional selection | Openaire: stabilizing selection - Openalex: directional selection | Openaire: biology - Openalex: evolutionary biology | Openaire: gene frequency - Openalex: gene | Openaire: genetic variation - Openalex: genetic variation | Openaire: models, genetic - Openalex: genetic variation | Openaire: polymorphism, genetic - Openalex: genetic variation | Openaire: selection, genetic - Openalex: genetic variation | Openaire: genetics - Openalex: genetics | Openaire: mutation - Openalex: mutation | Openaire: balancing selection - Openalex: negative selection | Openaire: disruptive selection - Openalex: negative selection | Openaire: frequency-dependent selection - Openalex: negative selection | Openaire: negative selection - Openalex: negative selection | Openaire: selection (genetic algorithm) - Openalex: negative selection | Openaire: stabilizing selection - Openalex: negative selection | Openaire: phenotype - Openalex: phenotype | Openaire: pleiotropy - Openalex: pleiotropy | Openaire: balancing selection - Openalex: selection (genetic algorithm) | Openaire: disruptive selection - Openalex: selection (genetic algorithm) | Openaire: frequency-dependent selection - Openalex: selection (genetic algorithm) | Openaire: negative selection - Openalex: selection (genetic algorithm) | Openaire: selection (genetic algorithm) - Openalex: selection (genetic algorithm) | Openaire: stabilizing selection - Openalex: selection (genetic algorithm) | Openaire: balancing selection - Openalex: stabilizing selection | Openaire: disruptive selection - Openalex: stabilizing selection | Openaire: frequency-dependent selection - Openalex: stabilizing selection | Openaire: negative selection - Openalex: stabilizing selection | Openaire: selection (genetic algorithm) - Openalex: stabilizing selection | Openaire: stabilizing selection - Openalex: stabilizing selection | Openaire: trait - Openalex: trait | Openaire: genetic variation - Openalex: variation (astronomy)
Automatic generation of primary sequence patterns from sets of related protein sequences.;Alignment-free sequence analysis | Artificial intelligence | Biology | Cluster analysis | Combinatorics | Computational biology | Computer science | Engineering | Gene | Genetics | Image (mathematics) | Mathematics | Multiple sequence alignment | Node (physics) | Pairwise comparison | Pattern recognition (psychology) | Peptide sequence | Programming language | Protein sequencing | Protein superfamily | Sequence (biology) | Sequence alignment | Sequence logo | Set (abstract data type) | Similarity (geometry) | Structural alignment | Structural engineering | Tree (set theory);Alignment-free sequence analysis | Amino Acid Sequence | Artificial intelligence | Base Sequence | Biology | Gap penalty | Genetics | Mathematics | Models, Theoretical | Molecular Sequence Data | Multidisciplinary | Multiple sequence alignment | Pattern recognition | Protein superfamily | Proteins | Research Article | Sequence (medicine) | Sequence Homology, Nucleic Acid | Sequence alignment | Serine Endopeptidases | Structural alignment | Tree (descriptive set theory) | Trypsinogen | business | business.industry;Openaire: alignment-free sequence analysis - Openalex: alignment-free sequence analysis | Openaire: amino acid sequence - Openalex: alignment-free sequence analysis | Openaire: base sequence - Openalex: alignment-free sequence analysis | Openaire: molecular sequence data - Openalex: alignment-free sequence analysis | Openaire: multiple sequence alignment - Openalex: alignment-free sequence analysis | Openaire: sequence (medicine) - Openalex: alignment-free sequence analysis | Openaire: sequence homology, nucleic acid - Openalex: alignment-free sequence analysis | Openaire: sequence alignment - Openalex: alignment-free sequence analysis | Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: biology - Openalex: biology | Openaire: alignment-free sequence analysis - Openalex: cluster analysis | Openaire: biology - Openalex: computational biology | Openaire: genetics - Openalex: genetics | Openaire: mathematics - Openalex: mathematics | Openaire: alignment-free sequence analysis - Openalex: multiple sequence alignment | Openaire: amino acid sequence - Openalex: multiple sequence alignment | Openaire: base sequence - Openalex: multiple sequence alignment | Openaire: molecular sequence data - Openalex: multiple sequence alignment | Openaire: multiple sequence alignment - Openalex: multiple sequence alignment | Openaire: sequence (medicine) - Openalex: multiple sequence alignment | Openaire: sequence homology, nucleic acid - Openalex: multiple sequence alignment | Openaire: sequence alignment - Openalex: multiple sequence alignment | Openaire: structural alignment - Openalex: multiple sequence alignment | Openaire: pattern recognition - Openalex: pattern recognition (psychology) | Openaire: alignment-free sequence analysis - Openalex: peptide sequence | Openaire: amino acid sequence - Openalex: peptide sequence | Openaire: base sequence - Openalex: peptide sequence | Openaire: molecular sequence data - Openalex: peptide sequence | Openaire: multiple sequence alignment - Openalex: peptide sequence | Openaire: sequence (medicine) - Openalex: peptide sequence | Openaire: sequence homology, nucleic acid - Openalex: peptide sequence | Openaire: sequence alignment - Openalex: peptide sequence | Openaire: protein superfamily - Openalex: protein sequencing | Openaire: protein superfamily - Openalex: protein superfamily | Openaire: alignment-free sequence analysis - Openalex: sequence (biology) | Openaire: amino acid sequence - Openalex: sequence (biology) | Openaire: base sequence - Openalex: sequence (biology) | Openaire: molecular sequence data - Openalex: sequence (biology) | Openaire: multiple sequence alignment - Openalex: sequence (biology) | Openaire: sequence (medicine) - Openalex: sequence (biology) | Openaire: sequence homology, nucleic acid - Openalex: sequence (biology) | Openaire: sequence alignment - Openalex: sequence (biology) | Openaire: alignment-free sequence analysis - Openalex: sequence alignment | Openaire: amino acid sequence - Openalex: sequence alignment | Openaire: base sequence - Openalex: sequence alignment | Openaire: molecular sequence data - Openalex: sequence alignment | Openaire: multiple sequence alignment - Openalex: sequence alignment | Openaire: sequence (medicine) - Openalex: sequence alignment | Openaire: sequence homology, nucleic acid - Openalex: sequence alignment | Openaire: sequence alignment - Openalex: sequence alignment | Openaire: structural alignment - Openalex: sequence alignment | Openaire: alignment-free sequence analysis - Openalex: sequence logo | Openaire: amino acid sequence - Openalex: sequence logo | Openaire: base sequence - Openalex: sequence logo | Openaire: molecular sequence data - Openalex: sequence logo | Openaire: multiple sequence alignment - Openalex: sequence logo | Openaire: sequence (medicine) - Openalex: sequence logo | Openaire: sequence homology, nucleic acid - Openalex: sequence logo | Openaire: sequence alignment - Openalex: sequence logo | Openaire: molecular sequence data - Openalex: set (abstract data type) | Openaire: tree (descriptive set theory) - Openalex: set (abstract data type) | Openaire: multiple sequence alignment - Openalex: structural alignment | Openaire: sequence alignment - Openalex: structural alignment | Openaire: structural alignment - Openalex: structural alignment | Openaire: structural alignment - Openalex: structural engineering | Openaire: tree (descriptive set theory) - Openalex: tree (set theory)
Influence of Scene-Based Properties on Visual Search;Artificial intelligence | Computer science | Computer vision | Curse of dimensionality | Economics | Epistemology | Human visual system model | Image (mathematics) | Law | Management | Philosophy | Political science | Politics | Representation (politics) | Simple (philosophy) | Task (project management) | Visual search;;
