CategoryName,Source,NumberOfPapers
"""scalar (mathematics)""","""OpenAIRE""",3
"""lyapunov stability""","""OpenAIRE""",3
"""poaceae""","""OpenAlex""",3
"""lemma (botany)""","""OpenAlex""",3
"""sleep (system call)""","""OpenAlex""",3
"""flight, animal""","""OpenAIRE""",3
"""quantitative analysis (finance)""","""OpenAIRE""",3
"""jel:g14""","""OpenAIRE""",3
"""jel:g34""","""OpenAIRE""",3
"""duration (project management)""","""OpenAIRE""",3
"""leverage (negotiation)""","""OpenAIRE""",3
"""hofstede's cultural dimensions theory""","""OpenAlex""",3
"""individualism""","""OpenAlex""",3
"""collectivism""","""OpenAlex""",3
"""organizational performance""","""OpenAlex""",3
"""complexity class""","""OpenAlex""",3
"""qualitative comparative analysis""","""OpenAlex""",3
"""rivalry""","""OpenAIRE""",3
"""rivalry""","""OpenAlex""",3
"""biocompatible materials""","""OpenAIRE""",3
"""genetic similarity""","""OpenAlex""",3
"""arabidopsis""","""OpenAIRE""",3
"""fetus""","""OpenAlex""",3
"""nature""","""OpenAIRE""",3
"""wass""","""OpenAIRE""",3
"""boolean expression""","""OpenAlex""",3
"""boolean network""","""OpenAlex""",3
"""and-inverter graph""","""OpenAlex""",3
"""downscaling""","""OpenAIRE""",3
"""downscaling""","""OpenAlex""",3
"""petroleum engineering""","""OpenAlex""",3
"""mathematical proof""","""OpenAIRE""",3
"""viscosity""","""OpenAIRE""",3
"""computational fluid dynamics""","""OpenAIRE""",3
"""fluidics""","""OpenAIRE""",3
"""fluid dynamics""","""OpenAIRE""",3
"""marriage""","""OpenAIRE""",3
"""parents""","""OpenAIRE""",3
"""refractive index""","""OpenAIRE""",3
"""polarization (waves)""","""OpenAIRE""",3
"""dogs""","""OpenAIRE""",3
"""bipartite graph""","""OpenAlex""",3
"""cognition disorders""","""OpenAIRE""",3
"""theoretical ecology""","""OpenAIRE""",3
"""kernel embedding of distributions""","""OpenAIRE""",3
"""polynomial kernel""","""OpenAIRE""",3
"""variable kernel density estimation""","""OpenAIRE""",3
"""kernel principal component analysis""","""OpenAlex""",3
"""information theory/wireless networking""","""OpenAIRE""",3
"""digital elevation model""","""OpenAIRE""",3
"""neurobiology""","""OpenAIRE""",3
"""customer intelligence""","""OpenAIRE""",3
"""brand loyalty""","""OpenAIRE""",3
"""customer retention""","""OpenAIRE""",3
"""customer delight""","""OpenAIRE""",3
"""customer satisfaction""","""OpenAlex""",3
"""synthetic data""","""OpenAlex""",3
"""monitoring and evaluation""","""OpenAIRE""",3
"""certification""","""OpenAlex""",3
"""harmonics""","""OpenAIRE""",3
"""harmonic analysis""","""OpenAlex""",3
"""harmonics""","""OpenAlex""",3
"""total harmonic distortion""","""OpenAlex""",3
"""minimum redundancy feature selection""","""OpenAlex""",3
"""logical consequence""","""OpenAIRE""",3
"""corporate security""","""OpenAIRE""",3
"""information bottleneck method""","""OpenAlex""",3
"""design of experiments""","""OpenAIRE""",3
"""statistical process control""","""OpenAlex""",3
"""sex positions/sexual acts""","""OpenAIRE""",3
"""simulation theory of empathy""","""OpenAlex""",3
"""dbscan""","""OpenAIRE""",3
"""centroid""","""OpenAlex""",3
"""placebo""","""OpenAlex""",3
"""survivors""","""OpenAIRE""",3
"""hydrogen bond""","""OpenAIRE""",3
"""extensibility""","""OpenAlex""",3
"""software metric""","""OpenAIRE""",3
"""software bug""","""OpenAlex""",3
"""database normalization""","""OpenAlex""",3
"""jitter""","""OpenAIRE""",3
"""molecular""","""OpenAIRE""",3
"""gain scheduling""","""OpenAlex""",3
"""imaging techniques""","""OpenAIRE""",3
"""coordinate system""","""OpenAlex""",3
"""content (freudian dream analysis)""","""OpenAIRE""",3
"""production control""","""OpenAIRE""",3
"""propulsion""","""OpenAlex""",3
"""propulsion""","""OpenAIRE""",3
"""[spi.nrj]engineering sciences [physics]/electric power""","""OpenAIRE""",3
"""comparison""","""OpenAIRE""",3
"""eukaryotic cells""","""OpenAIRE""",3
"""subdivision""","""OpenAlex""",3
"""petri net""","""OpenAIRE""",3
"""selection (relational algebra)""","""OpenAIRE""",3
"""data integration""","""OpenAIRE""",3
"""parametric model""","""OpenAlex""",3
"""electric conductivity""","""OpenAIRE""",3
"""quantum finite automata""","""OpenAIRE""",3
"""crewed spacecraft/embedded systems""","""OpenAIRE""",3
"""life satisfaction""","""OpenAIRE""",3
"""mendelian randomization""","""OpenAIRE""",3
"""distributed ray tracing""","""OpenAIRE""",3
"""dysfunctional family""","""OpenAIRE""",3
"""radiative transfer""","""OpenAIRE""",3
"""pharmacology & pharmacy""","""OpenAIRE""",3
"""adolescent behavior""","""OpenAIRE""",3
"""cognitive behavioral therapy""","""OpenAIRE""",3
"""vocabulary development""","""OpenAIRE""",3
"""dna repair""","""OpenAIRE""",3
"""genome instability""","""OpenAlex""",3
"""dna damage""","""OpenAlex""",3
"""indigenous""","""OpenAIRE""",3
"""literature""","""OpenAIRE""",3
"""impression""","""OpenAlex""",3
"""marketing effectiveness""","""OpenAIRE""",3
"""shareholder""","""OpenAlex""",3
"""marketing research""","""OpenAlex""",3
"""embryo""","""OpenAlex""",3
"""closing (real estate)""","""OpenAlex""",3
"""ecosystems""","""OpenAIRE""",3
"""variability""","""OpenAIRE""",3
"""commentaries""","""OpenAIRE""",3
"""valence (psychology)""","""OpenAIRE""",3
"""review articles""","""OpenAIRE""",3
"""voltage regulation""","""OpenAIRE""",3
"""voltage optimisation""","""OpenAIRE""",3
"""exponential family""","""OpenAlex""",3
"""rapid serial visual presentation""","""OpenAlex""",3
"""continuation""","""OpenAlex""",3
"""environmental niche modelling""","""OpenAIRE""",3
"""cellular automaton""","""OpenAIRE""",3
"""multitude""","""OpenAIRE""",3
"""riemannian geometry""","""OpenAlex""",3
"""lcsh:information technology""","""OpenAIRE""",3
"""lcsh:t58.5-58.64""","""OpenAIRE""",3
"""dynamism""","""OpenAIRE""",3
"""crop yield""","""OpenAIRE""",3
"""fiducial marker""","""OpenAIRE""",3
"""square (algebra)""","""OpenAIRE""",3
"""ratchet""","""OpenAlex""",3
"""coherence (physics)""","""OpenAIRE""",3
"""bipartite graph""","""OpenAIRE""",3
"""lexical analysis""","""OpenAIRE""",3
"""license""","""OpenAlex""",3
"""audit""","""OpenAlex""",3
"""spins""","""OpenAlex""",3
"""network dynamics""","""OpenAlex""",3
"""crystallization""","""OpenAlex""",3
"""protein crystallization""","""OpenAlex""",3
"""haptic perception""","""OpenAIRE""",3
"""sociolinguistics""","""OpenAIRE""",3
"""global change""","""OpenAIRE""",3
"""forcing (mathematics)""","""OpenAlex""",3
"""climate model""","""OpenAlex""",3
"""type i and type ii errors""","""OpenAIRE""",3
"""task analysis""","""OpenAlex""",3
"""distribution networks""","""OpenAIRE""",3
"""human resource management""","""OpenAIRE""",3
"""pupil""","""OpenAlex""",3
"""component-based software engineering""","""OpenAIRE""",3
"""original articles""","""OpenAIRE""",3
"""meaning (philosophy of language)""","""OpenAIRE""",3
"""scale invariance""","""OpenAIRE""",3
"""template matching""","""OpenAIRE""",3
"""vehicle routing problem""","""OpenAIRE""",3
"""container (type theory)""","""OpenAlex""",3
"""replication (computing)""","""OpenAIRE""",3
"""road traffic""","""OpenAIRE""",3
"""cooperative adaptive cruise control""","""OpenAlex""",3
"""fitness landscape""","""OpenAIRE""",3
"""retinoscopy""","""OpenAIRE""",3
"""optical imaging""","""OpenAIRE""",3
"""psychological resilience""","""OpenAIRE""",3
"""hierarchical models""","""OpenAIRE""",3
"""dirichlet distribution""","""OpenAIRE""",3
"""dirichlet distribution""","""OpenAlex""",3
"""vehicle routing problem""","""OpenAlex""",3
"""information flow""","""OpenAlex""",3
"""songbirds""","""OpenAIRE""",3
"""ambient noise level""","""OpenAIRE""",3
"""hydrogen bonding""","""OpenAIRE""",3
"""ions""","""OpenAIRE""",3
"""distributed leadership""","""OpenAIRE""",3
"""leadership""","""OpenAlex""",3
"""servant leadership""","""OpenAlex""",3
"""leadership studies""","""OpenAlex""",3
"""dna methylation""","""OpenAlex""",3
"""discrete cosine transform""","""OpenAIRE""",3
"""robot end effector""","""OpenAlex""",3
"""cell wall""","""OpenAIRE""",3
"""obesity""","""OpenAIRE""",3
"""linear map""","""OpenAIRE""",3
"""competitor analysis""","""OpenAIRE""",3
"""very-large-scale integration""","""OpenAlex""",3
"""adversary""","""OpenAIRE""",3
"""networked control system""","""OpenAIRE""",3
"""symbol (formal)""","""OpenAlex""",3
"""realization (linguistics)""","""OpenAIRE""",3
"""deviance (statistics)""","""OpenAlex""",3
"""quantum information science""","""OpenAlex""",3
"""cascade""","""OpenAIRE""",3
"""conditioning, psychological""","""OpenAIRE""",3
"""explanatory power""","""OpenAIRE""",3
"""localization""","""OpenAIRE""",3
"""data association""","""OpenAlex""",3
"""vector space""","""OpenAlex""",3
"""ensembl""","""OpenAlex""",3
"""lcsh:biotechnology""","""OpenAIRE""",3
"""lcsh:tp248.13-248.65""","""OpenAIRE""",3
"""pathwidth""","""OpenAlex""",3
"""diagnostic classification""","""OpenAIRE""",3
"""intrusion detection""","""OpenAIRE""",3
"""[info.info-ro]computer science [cs]/operations research [cs.ro]""","""OpenAIRE""",3
"""linear temporal logic""","""OpenAlex""",3
"""temporal logic""","""OpenAlex""",3
"""plant breeding""","""OpenAlex""",3
"""motion history images""","""OpenAIRE""",3
"""power system simulation""","""OpenAIRE""",3
"""nutritional status""","""OpenAIRE""",3
"""literature survey""","""OpenAIRE""",3
"""corpus linguistics""","""OpenAIRE""",3
"""retinal ganglion cells""","""OpenAIRE""",3
"""retinal ganglion""","""OpenAIRE""",3
"""occupational therapy/learning disabilities""","""OpenAIRE""",3
"""watermark""","""OpenAIRE""",3
"""watermark""","""OpenAlex""",3
"""multilingualism""","""OpenAIRE""",3
"""economies of agglomeration""","""OpenAIRE""",3
"""cities""","""OpenAIRE""",3
"""level data""","""OpenAIRE""",3
"""action selection""","""OpenAIRE""",3
"""nucleus accumbens""","""OpenAIRE""",3
"""nucleus accumbens""","""OpenAlex""",3
"""voting behavior""","""OpenAIRE""",3
"""political economy of climate change""","""OpenAIRE""",3
"""data classification""","""OpenAIRE""",3
"""problem-based learning""","""OpenAIRE""",3
"""iterative and incremental development""","""OpenAIRE""",3
"""original paper""","""OpenAIRE""",3
"""seismology""","""OpenAIRE""",3
"""orders of magnitude (acceleration)""","""OpenAIRE""",3
"""electrochemistry""","""OpenAIRE""",3
"""ionic bonding""","""OpenAIRE""",3
"""flexible electronics""","""OpenAlex""",3
"""ethnology""","""OpenAlex""",3
"""excellence""","""OpenAlex""",3
"""smell""","""OpenAIRE""",3
"""afterimage""","""OpenAIRE""",3
"""ethnology""","""OpenAIRE""",3
"""prosody""","""OpenAlex""",3
"""proteomics""","""OpenAlex""",3
"""multiplicative noise""","""OpenAIRE""",3
"""manipulator""","""OpenAIRE""",3
"""nanotube""","""OpenAlex""",3
"""twist""","""OpenAlex""",3
"""nanotube""","""OpenAIRE""",3
"""capacitive sensing""","""OpenAlex""",3
"""product management""","""OpenAIRE""",3
"""product design""","""OpenAIRE""",3
"""attitude""","""OpenAIRE""",3
"""oxidative stress""","""OpenAIRE""",3
"""approximate inference""","""OpenAlex""",3
"""language technology""","""OpenAlex""",3
"""statistical methods""","""OpenAIRE""",3
"""labeled data""","""OpenAIRE""",3
"""scanner""","""OpenAIRE""",3
"""archeology""","""OpenAIRE""",3
"""probabilistic latent semantic analysis""","""OpenAlex""",3
"""institut für physik und astronomie""","""OpenAIRE""",3
"""wason selection task""","""OpenAIRE""",3
"""enforcement""","""OpenAIRE""",3
"""exposition (narrative)""","""OpenAlex""",3
"""histogram equalization""","""OpenAIRE""",3
"""bayesian optimization""","""OpenAIRE""",3
"""genome-wide association study""","""OpenAlex""",3
"""iterative learning control""","""OpenAIRE""",3
"""iterative learning control""","""OpenAlex""",3
"""brand equity""","""OpenAIRE""",3
"""brand loyalty""","""OpenAlex""",3
"""electronic computers. computer science""","""OpenAIRE""",3
"""qa75.5-76.95""","""OpenAIRE""",3
"""analysis of variance""","""OpenAlex""",3
"""radiation therapy procedures/medical physics""","""OpenAIRE""",3
"""radiology/medical imaging""","""OpenAIRE""",3
"""focus group""","""OpenAlex""",3
"""hidden variable theory""","""OpenAlex""",3
"""performance management""","""OpenAIRE""",3
"""bicubic interpolation""","""OpenAIRE""",3
"""proton""","""OpenAlex""",3
"""welfare""","""OpenAIRE""",3
"""water purification""","""OpenAIRE""",3
"""in vitro""","""OpenAlex""",3
"""multi-level governance""","""OpenAIRE""",3
"""life history theory""","""OpenAlex""",3
"""rapid prototyping""","""OpenAlex""",3
"""deposition (geology)""","""OpenAlex""",3
"""sediment""","""OpenAlex""",3
"""machining/machine tools""","""OpenAIRE""",3
"""social network analysis""","""OpenAIRE""",3
"""dynamic network analysis""","""OpenAlex""",3
"""disappointment""","""OpenAIRE""",3
"""organizational behavior/industrial and organizational psychology""","""OpenAIRE""",3
"""phenomenology (philosophy)""","""OpenAlex""",3
"""social value orientations""","""OpenAIRE""",3
"""social competence""","""OpenAlex""",3
"""phase space""","""OpenAIRE""",3
"""east asia""","""OpenAIRE""",3
"""phylogenetic comparative methods""","""OpenAlex""",3
"""demographics""","""OpenAIRE""",3
"""food safety""","""OpenAlex""",3
"""balancing selection""","""OpenAlex""",3
"""perplexity""","""OpenAlex""",3
"""market liquidity""","""OpenAIRE""",3
"""yield (finance)""","""OpenAIRE""",3
"""latin americans""","""OpenAlex""",3
"""shock (circulatory)""","""OpenAlex""",3
"""capital market""","""OpenAlex""",3
"""emerging markets""","""OpenAlex""",3
"""water quality""","""OpenAIRE""",3
"""active shape model""","""OpenAIRE""",3
"""systems neuroscience""","""OpenAIRE""",3
"""macaque""","""OpenAIRE""",3
"""belief propagation""","""OpenAIRE""",3
"""aerial image""","""OpenAlex""",3
"""[info.info-cv] computer science [cs]/computer vision and pattern recognition [cs.cv]""","""OpenAIRE""",3
"""innovation management""","""OpenAlex""",3
"""ligand (biochemistry)""","""OpenAlex""",3
"""adaptive capacity""","""OpenAIRE""",3
"""adaptive capacity""","""OpenAlex""",3
"""empirical modelling""","""OpenAIRE""",3
"""human-computer interaction (cs.hc)""","""OpenAIRE""",3
"""computer science - human-computer interaction""","""OpenAIRE""",3
"""light field""","""OpenAIRE""",3
"""ray""","""OpenAIRE""",3
"""computational photography""","""OpenAlex""",3
"""gender identity""","""OpenAIRE""",3
"""parent-child relations""","""OpenAIRE""",3
"""games, experimental""","""OpenAIRE""",3
"""population density""","""OpenAIRE""",3
"""sorting algorithm""","""OpenAIRE""",3
"""image-based modeling and rendering""","""OpenAIRE""",3
"""fusiform gyrus""","""OpenAIRE""",3
"""exchange rate""","""OpenAlex""",3
"""orthographic projection""","""OpenAIRE""",3
"""analytic network process""","""OpenAIRE""",3
"""membrane potentials""","""OpenAIRE""",3
"""oligodendrocyte""","""OpenAlex""",3
"""myelin""","""OpenAlex""",3
"""public trust""","""OpenAIRE""",3
"""perceptual learning""","""OpenAlex""",3
"""gene mapping""","""OpenAIRE""",3
"""comparative genomics""","""OpenAIRE""",3
"""concrete/building materials""","""OpenAIRE""",3
"""probabilistic-based design optimization""","""OpenAIRE""",3
"""laplace's method""","""OpenAIRE""",3
"""laplace transform""","""OpenAlex""",3
"""procedural justice""","""OpenAIRE""",3
"""citizenship""","""OpenAlex""",3
"""social software engineering""","""OpenAIRE""",3
"""fused deposition modeling""","""OpenAlex""",2
"""perpendicular""","""OpenAlex""",2
"""tensile strength""","""OpenAIRE""",2
"""surface roughness""","""OpenAIRE""",2
"""flexural strength""","""OpenAIRE""",2
"""complement (complexity)""","""OpenAIRE""",2
"""delay differential equation""","""OpenAlex""",2
"""quadrature (mathematics)""","""OpenAIRE""",2
"""regular articles""","""OpenAIRE""",2
"""urodela""","""OpenAIRE""",2
"""bayesian""","""OpenAIRE""",2
"""food safety""","""OpenAIRE""",2
"""genetic techniques""","""OpenAIRE""",2
"""isoenzymes""","""OpenAIRE""",2
"""balancing selection""","""OpenAIRE""",2
"""capital (economics)""","""OpenAIRE""",2
"""swat model""","""OpenAIRE""",2
"""routing (hydrology)""","""OpenAIRE""",2
"""soil and water assessment tool""","""OpenAIRE""",2
"""resource (biology)""","""OpenAIRE""",2
"""soil and water assessment tool""","""OpenAlex""",2
"""microelectrodes""","""OpenAIRE""",2
"""romance""","""OpenAlex""",2
"""human development""","""OpenAIRE""",2
"""spouses""","""OpenAIRE""",2
"""probabilistic argumentation""","""OpenAIRE""",2
"""probabilistic argumentation""","""OpenAlex""",2
"""infrared imagery""","""OpenAIRE""",2
"""automatic target recognition""","""OpenAIRE""",2
"""vehicles""","""OpenAIRE""",2
"""product innovation""","""OpenAIRE""",2
"""protein conformation, alpha-helical""","""OpenAIRE""",2
"""journal article""","""OpenAIRE""",2
"""protein interaction domains and motifs""","""OpenAIRE""",2
"""ligand""","""OpenAIRE""",2
"""genetic variants""","""OpenAIRE""",2
"""protein conformation, beta-strand""","""OpenAIRE""",2
"""solar energy""","""OpenAIRE""",2
"""empirical modelling""","""OpenAlex""",2
"""predictive analytics""","""OpenAIRE""",2
"""distillation""","""OpenAlex""",2
"""computational photography""","""OpenAIRE""",2
"""photography""","""OpenAlex""",2
"""logic gate""","""OpenAIRE""",2
"""censoring (clinical trials)""","""OpenAlex""",2
"""multimodal learning""","""OpenAlex""",2
"""friendship""","""OpenAIRE""",2
"""peer influence""","""OpenAIRE""",2
"""social conformity""","""OpenAIRE""",2
"""dyad""","""OpenAlex""",2
"""lizards""","""OpenAIRE""",2
"""carrying capacity""","""OpenAIRE""",2
"""hatching""","""OpenAlex""",2
"""cognitive neuroscience""","""OpenAlex""",2
"""response time""","""OpenAIRE""",2
"""optimal distinctiveness theory""","""OpenAIRE""",2
"""domain specificity""","""OpenAlex""",2
"""foreign exchange market""","""OpenAlex""",2
"""delay time""","""OpenAIRE""",2
"""nonlinear sciences - pattern formation and solitons""","""OpenAIRE""",2
"""pattern formation and solitons (nlin.ps)""","""OpenAIRE""",2
"""consistency""","""OpenAIRE""",2
"""observational error""","""OpenAlex""",2
"""preference relation""","""OpenAIRE""",2
"""preference relation""","""OpenAlex""",2
"""experimental work""","""OpenAIRE""",2
"""systems neuroscience""","""OpenAlex""",2
"""biological neuron model""","""OpenAlex""",2
"""computer literacy""","""OpenAIRE""",2
"""class size""","""OpenAIRE""",2
"""complex problems""","""OpenAIRE""",2
"""news media""","""OpenAIRE""",2
"""semantic role labeling""","""OpenAIRE""",2
"""adjective""","""OpenAlex""",2
"""semantic role labeling""","""OpenAlex""",2
"""genome evolution""","""OpenAlex""",2
"""ecological stability""","""OpenAIRE""",2
"""turkish""","""OpenAIRE""",2
"""inverted sentence""","""OpenAIRE""",2
"""building design""","""OpenAIRE""",2
"""hamiltonian (quantum mechanics)""","""OpenAIRE""",2
"""celestial mechanics""","""OpenAIRE""",2
"""eccentricity (behavior)""","""OpenAlex""",2
"""numerical integration""","""OpenAlex""",2
"""quasiperiodic function""","""OpenAlex""",2
"""noisy data""","""OpenAlex""",2
"""organizational citizenship behavior""","""OpenAIRE""",2
"""organizational citizenship behavior""","""OpenAlex""",2
"""linear differential equation""","""OpenAIRE""",2
"""software peer review""","""OpenAIRE""",2
"""software walkthrough""","""OpenAIRE""",2
"""software engineering process group""","""OpenAIRE""",2
"""multiplication""","""OpenAIRE""",2
"""ask price""","""OpenAlex""",2
"""symbol (formal)""","""OpenAIRE""",2
"""host-based intrusion detection system""","""OpenAIRE""",2
"""neutral mutation""","""OpenAIRE""",2
"""mtdna control region""","""OpenAIRE""",2
"""mitochondrial dna""","""OpenAIRE""",2
"""mitochondrion""","""OpenAlex""",2
"""fluorescence recovery after photobleaching""","""OpenAIRE""",2
"""green fluorescent protein""","""OpenAlex""",2
"""high resolution""","""OpenAlex""",2
"""green fluorescent protein""","""OpenAIRE""",2
"""spectrometry, fluorescence""","""OpenAIRE""",2
"""frequency response""","""OpenAlex""",2
"""natural language understanding""","""OpenAIRE""",2
"""object language""","""OpenAIRE""",2
"""lyapunov redesign""","""OpenAIRE""",2
"""principal component regression""","""OpenAlex""",2
"""telemedicine""","""OpenAIRE""",2
"""organizational network analysis""","""OpenAIRE""",2
"""optical tomography""","""OpenAlex""",2
"""crystallization""","""OpenAIRE""",2
"""nucleation""","""OpenAlex""",2
"""randomized experiment""","""OpenAlex""",2
"""transient response""","""OpenAlex""",2
"""behavioral ecology""","""OpenAIRE""",2
"""shyness""","""OpenAlex""",2
"""severity of illness""","""OpenAIRE""",2
"""national cancer institute (u.s.)""","""OpenAIRE""",2
"""kaplan-meier estimate""","""OpenAIRE""",2
"""precursor cell lymphoblastic leukemia-lymphoma""","""OpenAIRE""",2
"""wavenumber""","""OpenAlex""",2
"""expected value""","""OpenAIRE""",2
"""minimum mean square error""","""OpenAIRE""",2
"""mentalization""","""OpenAlex""",2
"""mentalization""","""OpenAIRE""",2
"""catchment hydrology""","""OpenAIRE""",2
"""scientific progress""","""OpenAIRE""",2
"""fake news""","""OpenAlex""",2
"""displacement (fluid)""","""OpenAIRE""",2
"""surface tension""","""OpenAIRE""",2
"""microorganism""","""OpenAlex""",2
"""host-parasite interactions""","""OpenAIRE""",2
"""experimental evolution""","""OpenAIRE""",2
"""personality test""","""OpenAIRE""",2
"""acetylcholine""","""OpenAlex""",2
"""depolarization""","""OpenAIRE""",2
"""lagrangian relaxation""","""OpenAIRE""",2
"""column (typography)""","""OpenAlex""",2
"""gene chip analysis""","""OpenAIRE""",2
"""dominant design""","""OpenAIRE""",2
"""technological evolution""","""OpenAlex""",2
"""fuzzy soft set""","""OpenAIRE""",2
"""object perception""","""OpenAIRE""",2
"""rank reversals in decision-making""","""OpenAIRE""",2
"""phonological rule""","""OpenAlex""",2
"""g.2.1""","""OpenAIRE""",2
"""uniform distribution (continuous)""","""OpenAIRE""",2
"""polynomial hierarchy""","""OpenAIRE""",2
"""chaotic mixing""","""OpenAIRE""",2
"""chemical engineering(all)""","""OpenAIRE""",2
"""work in process""","""OpenAIRE""",2
"""system analysis""","""OpenAIRE""",2
"""multiplication (music)""","""OpenAlex""",2
"""lemmatisation""","""OpenAIRE""",2
"""motor imagery""","""OpenAlex""",2
"""dna binding site""","""OpenAIRE""",2
"""stabilizer (aeronautics)""","""OpenAIRE""",2
"""nonholonomic system""","""OpenAlex""",2
"""modus ponens""","""OpenAIRE""",2
"""total least squares""","""OpenAIRE""",2
"""least trimmed squares""","""OpenAIRE""",2
"""window function""","""OpenAlex""",2
"""social dilemma""","""OpenAlex""",2
"""knapsack problem""","""OpenAIRE""",2
"""oracle""","""OpenAIRE""",2
"""knapsack problem""","""OpenAlex""",2
"""functional integration (neurobiology)""","""OpenAIRE""",2
"""peer feedback""","""OpenAIRE""",2
"""computational biology/computational neuroscience""","""OpenAIRE""",2
"""antibodies, monoclonal""","""OpenAIRE""",2
"""algorithm design""","""OpenAlex""",2
"""organ specificity""","""OpenAIRE""",2
"""reproductive medicine""","""OpenAIRE""",2
"""embryonic and fetal development""","""OpenAIRE""",2
"""hormone""","""OpenAlex""",2
"""wake-sleep algorithm""","""OpenAIRE""",2
"""risk aversion (psychology)""","""OpenAlex""",2
"""adaptive behavior""","""OpenAlex""",2
"""common-method variance""","""OpenAlex""",2
"""management methods""","""OpenAIRE""",2
"""role theory""","""OpenAIRE""",2
"""database model""","""OpenAIRE""",2
"""structural alignment""","""OpenAlex""",2
"""structural alignment""","""OpenAIRE""",2
"""threatened species""","""OpenAlex""",2
"""human sexuality""","""OpenAIRE""",2
"""wings, animal""","""OpenAIRE""",2
"""degrees of freedom (statistics)""","""OpenAIRE""",2
"""blade pitch""","""OpenAIRE""",2
"""wind profile power law""","""OpenAIRE""",2
"""blade pitch""","""OpenAlex""",2
"""pitch control""","""OpenAlex""",2
"""pitch angle""","""OpenAIRE""",2
"""euler angles""","""OpenAIRE""",2
"""marine engineering""","""OpenAlex""",2
"""propeller""","""OpenAlex""",2
"""shifting attention""","""OpenAIRE""",2
"""n2pc""","""OpenAlex""",2
"""common knowledge""","""OpenAIRE""",2
"""unconscious mind""","""OpenAIRE""",2
"""globe""","""OpenAIRE""",2
"""delegation""","""OpenAIRE""",2
"""globe""","""OpenAlex""",2
"""pressure""","""OpenAIRE""",2
"""electrons""","""OpenAIRE""",2
"""synaptic weight""","""OpenAIRE""",2
"""analysis software""","""OpenAIRE""",2
"""human interaction""","""OpenAIRE""",2
"""imaging data""","""OpenAIRE""",2
"""jel:g12""","""OpenAIRE""",2
"""extreme weather""","""OpenAlex""",2
"""underdetermined system""","""OpenAIRE""",2
"""underdetermined system""","""OpenAlex""",2
"""near-field scanning optical microscope""","""OpenAlex""",2
"""resonance (particle physics)""","""OpenAlex""",2
"""generation time""","""OpenAlex""",2
"""transposable element""","""OpenAIRE""",2
"""escherichia coli""","""OpenAlex""",2
"""conjugate residual method""","""OpenAIRE""",2
"""derivation of the conjugate gradient method""","""OpenAIRE""",2
"""quantitative susceptibility mapping""","""OpenAIRE""",2
"""magnetic susceptibility""","""OpenAlex""",2
"""child development disorders, pervasive""","""OpenAIRE""",2
"""pervasive developmental disorder""","""OpenAIRE""",2
"""bf""","""OpenAIRE""",2
"""nonlinear model""","""OpenAIRE""",2
"""database theory""","""OpenAlex""",2
"""database design""","""OpenAlex""",2
"""semantic web stack""","""OpenAIRE""",2
"""semantic analytics""","""OpenAIRE""",2
"""social semantic web""","""OpenAIRE""",2
"""commonsense knowledge""","""OpenAIRE""",2
"""illusory contours""","""OpenAIRE""",2
"""retinotopy""","""OpenAlex""",2
"""adult education""","""OpenAIRE""",2
"""quality of life research""","""OpenAlex""",2
"""business ethics""","""OpenAlex""",2
"""autism spectrum disorder""","""OpenAIRE""",2
"""power law""","""OpenAlex""",2
"""trigonometric interpolation""","""OpenAIRE""",2
"""non-uniform discrete fourier transform""","""OpenAIRE""",2
"""nanocrystalline material""","""OpenAIRE""",2
"""electrolyte""","""OpenAIRE""",2
"""nickel""","""OpenAlex""",2
"""nanocrystalline material""","""OpenAlex""",2
"""gaussian blur""","""OpenAlex""",2
"""gaussian filter""","""OpenAlex""",2
"""broadband""","""OpenAIRE""",2
"""butterfly graph""","""OpenAIRE""",2
"""voltage graph""","""OpenAIRE""",2
"""lattice miner""","""OpenAIRE""",2
"""web application""","""OpenAIRE""",2
"""costs and cost analysis""","""OpenAIRE""",2
"""omnibus test""","""OpenAIRE""",2
"""access network""","""OpenAIRE""",2
"""evolutionary game theory""","""OpenAlex""",2
"""colloid""","""OpenAlex""",2
"""radial basis function kernel""","""OpenAIRE""",2
"""formalism (philosophy)""","""OpenAIRE""",2
"""very-large-scale integration""","""OpenAIRE""",2
"""drug development""","""OpenAIRE""",2
"""phase (combat)""","""OpenAIRE""",2
"""translational research""","""OpenAIRE""",2
"""translational research""","""OpenAlex""",2
"""social dilemma""","""OpenAIRE""",2
"""semiclassical physics""","""OpenAIRE""",2
"""semiclassical physics""","""OpenAlex""",2
"""node (computer science)""","""OpenAIRE""",2
"""medical microbiology""","""OpenAIRE""",2
"""microbiota""","""OpenAIRE""",2
"""power-flow study""","""OpenAIRE""",2
"""time-invariant system""","""OpenAIRE""",2
"""hybrid system""","""OpenAlex""",2
"""sequence identity""","""OpenAIRE""",2
"""animal locomotion""","""OpenAIRE""",2
"""anticipation, psychological""","""OpenAIRE""",2
"""satellite communications""","""OpenAIRE""",2
"""microbial ecology""","""OpenAIRE""",2
"""molecular ecology""","""OpenAlex""",2
"""center of pressure (fluid mechanics)""","""OpenAlex""",2
"""legislature""","""OpenAIRE""",2
"""cuckoo search""","""OpenAIRE""",2
"""cuckoo search""","""OpenAlex""",2
"""ptychography""","""OpenAIRE""",2
"""phase retrieval""","""OpenAIRE""",2
"""integrable system""","""OpenAIRE""",2
"""empirical risk minimization""","""OpenAlex""",2
